comparison,group1,group2,layer,metric,cohens_d,perm_p,significant,n1,n2
Direct Success vs Direct Failure,G2,G1,15,radius_of_gyration,-0.3858297850031299,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,16,radius_of_gyration,-0.3861956605471037,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,17,radius_of_gyration,-0.38618957728605924,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,18,radius_of_gyration,-0.3868136102562197,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,19,radius_of_gyration,-0.38760606748609927,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,20,radius_of_gyration,-0.388718474499276,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,21,radius_of_gyration,-0.38937964151853915,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,22,radius_of_gyration,-0.39081521788097084,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,23,radius_of_gyration,-0.3893903507452606,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,24,radius_of_gyration,-0.38785867047736133,0.002,True,198,102
